id,prediction,loss
1,1915,2213
2,1649,1284
5,4118,3005
10,1060,939.8
11,3197,2764
13,4146,5143
14,1246,1132
20,6456,3586
23,7984,1.028e+04
24,5790,6185
25,4218,6397
33,5629,5966
34,2051,1193
41,1008,1072
47,743.7,585.2
48,1226,1395
49,7984,6609
51,1457,2659
52,4133,4167
55,2354,3798
57,1054,1155
60,1008,891.1
61,1246,766
66,1994,771.6
73,2528,7256
76,2007,1529
86,2092,4787
89,1375,2164
90,5847,1.167e+04
93,2092,1754
100,2583,4521
105,1915,2128
107,4522,5371
111,3197,1831
112,1376,2422
116,1246,1376
118,4118,7703
125,1.176e+04,1.125e+04
130,1457,876.8
139,2724,3553
140,1006,1154
144,5629,4822
146,4189,2810
149,2276,3110
153,1365,1301
156,1.086e+04,1.01e+04
162,1165,858.5
166,843.2,692.5
167,1365,786.3
171,1563,1028
172,2443,3977
173,2218,1809
174,2443,3486
175,2539,1510
186,1912,2906
191,1930,7484
197,1596,1141
200,1731,595.1
202,2480,3343
205,3632,5113
207,1837,1432
208,1246,425.8
212,1365,703.2
215,2583,1998
218,1731,2206
222,1.758e+04,1.171e+04
223,1365,796.8
225,1573,1.736e+04
226,1376,515
228,4737,8537
232,1094,817.7
233,3391,2586
237,1912,5609
244,4543,3608
245,1563,2222
248,1573,2087
259,1930,6214
260,2174,2533
276,3087,1.55e+04
277,2856,6806
285,1837,2886
289,4323,4384
291,2051,487.2
292,1163,1019
293,1365,942.9
298,1522,2156
306,1246,1578
308,1365,887.5
316,1054,1761
318,542.9,38.4
319,1314,1231
320,1692,442.2
322,1639,824.5
324,2174,4199
325,4323,4837
327,2443,2284
333,1731,1246
335,3391,8582
337,1094,559.5
343,2480,2201
351,1226,4352
354,3197,5414
383,1596,2365
386,1915,757.9
388,4377,3096
393,1365,436.6
401,2724,6960
402,1522,2158
404,3391,4242
406,1639,1343
409,5140,6101
412,1226,2934
414,1163,1085
418,2340,1647
422,3485,4342
424,1522,1025
427,788.8,939.4
430,1731,3717
433,2583,1302
435,2092,1.127e+04
437,1837,1494
439,1563,2076
440,5293,4882
442,3847,1814
443,3380,1417
449,1.176e+04,1.546e+04
450,1837,2862
451,1955,2084
454,2276,3271
458,7435,5030
474,2142,2569
476,2007,1515
478,2856,2541
481,1440,1083
484,2724,1797
488,1365,1249
493,4899,7383
499,1522,986.3
502,5629,3648
511,897.2,621.4
516,1596,2879
517,1246,1338
522,2115,2514
526,1393,2298
527,1376,1325
534,1440,1371
536,3391,6144
538,1912,1538
540,1692,4061
542,859.6,645.7
550,1163,738.4
552,3197,4723
560,3759,8123
561,1717,1257
562,3719,1715
563,1639,825
567,2896,3849
568,2651,1733
572,1731,3016
576,1246,2152
577,4737,3861
578,1376,1748
584,1563,966
586,1930,3158
590,2856,3228
592,1573,892.4
596,1442,1578
598,1268,1375
599,1226,939.4
603,2092,697
605,3536,4805
606,1246,871.8
607,820.7,865.9
608,4737,4884
610,3197,3835
611,2218,2247
612,3971,4411
614,6757,8533
617,1837,3577
621,3759,6041
625,676.3,651.7
626,2583,3565
627,1731,2154
630,2893,2709
632,1563,1498
640,2651,749.3
644,1393,1221
650,5790,4773
653,1440,2580
657,2142,1738
658,3485,3603
663,1226,581.9
667,1692,914.6
670,1994,1028
674,2276,1096
677,4217,4391
679,2354,3016
681,1365,1587
685,1837,1579
687,1365,886
691,7435,6055
693,1573,1092
699,3632,5145
700,3380,5646
702,2528,3688
711,2651,1843
714,2276,4363
716,1393,3008
720,7435,5403
724,1457,1241
727,1277,1117
732,5615,6380
738,1837,4398
740,2724,3332
743,2340,1.252e+04
752,789,804.3
754,2051,1538
756,966.7,1060
762,730.6,1724
764,2856,3269
766,1837,2174
772,2443,1808
780,897.2,1990
781,1837,3304
784,1563,3766
786,1281,678.7
787,2651,3095
789,2856,3458
793,1.012e+04,1.104e+04
797,5293,9133
803,2623,1719
804,1798,633
806,1912,7195
810,1381,980.8
811,1798,1168
813,2623,2212
814,676.6,995.3
819,1573,959
821,2480,2196
824,881.2,819.2
827,1119,1356
829,5140,5572
835,1163,670.5
836,1649,1523
837,1365,1067
843,2361,2073
848,2751,1535
854,1522,1639
855,1376,1303
856,3011,8039
857,3536,5044
860,1692,918.5
867,4899,6348
870,3197,3103
871,1314,1038
878,9661,5715
881,3011,4540
882,3971,6113
887,1365,1496
890,3380,2787
892,1365,1593
893,1563,2130
894,1365,1023
895,1706,1625
898,3256,4576
900,3847,5177
902,1930,2930
903,1798,1529
905,1912,1484
906,1563,828.6
907,2583,1929
908,1246,641.1
909,2218,4083
912,3391,1488
914,2276,1803
915,1376,686
917,3169,1488
919,2340,1487
920,1376,1576
921,2092,2298
926,1.012e+04,1.841e+04
930,2115,2763
936,1759,3701
937,6757,4630
938,3536,2076
939,4543,3597
946,4899,6679
951,2007,1254
953,3011,3033
958,2276,3288
961,1994,1321
968,2340,3295
969,1314,1127
970,2092,5476
971,6150,4708
972,1226,2228
973,1163,1754
974,2354,1115
980,767,513
982,1163,1177
985,1440,1832
987,8144,835.9
988,1277,1170
991,5384,4907
992,1930,1785
993,1717,1857
996,1798,1934
997,5140,3943
1001,2115,2323
1009,1119,1178
1013,1917,1465
1014,3011,4469
1015,881.2,786.8
1017,2751,753.8
1020,3847,2920
1026,3391,4110
1027,1440,1873
1030,5293,1.262e+04
1032,1994,817.2
1037,7013,7593
1039,8610,9877
1041,2443,1912
1043,3898,4618
1046,1376,1260
1049,5384,4991
