id,prediction,loss
1,1862,2213
2,1613,1284
5,3915,3005
10,1009,939.9
11,3188,2764
13,4791,5143
14,1212,1132
20,6198,3586
23,7660,1.028e+04
24,5898,6185
25,3892,6397
33,5392,5966
34,1977,1193
41,1074,1072
47,820.7,585.2
48,1159,1395
49,8172,6609
51,1522,2659
52,4349,4167
55,2374,3798
57,1074,1155
60,994.6,891.1
61,1264,766
66,1960,771.6
73,2024,7256
76,2139,1529
86,1960,4787
89,1428,2164
90,5898,1.167e+04
93,2219,1754
100,2374,4521
105,1878,2128
107,4260,5371
111,3188,1831
112,1359,2422
116,1212,1376
118,3915,7703
125,1.311e+04,1.125e+04
130,1457,876.8
139,2688,3553
140,1066,1154
144,5898,4822
146,4260,2810
149,2346,3110
153,1298,1301
156,1.049e+04,1.01e+04
162,1133,858.5
166,926.1,692.5
167,1303,786.3
171,1568,1028
172,2521,3977
173,2374,1809
174,2303,3486
175,2774,1510
186,1801,2906
191,2219,7484
197,1700,1141
200,1978,595.1
202,2796,3343
205,3585,5113
207,1853,1432
208,1155,425.8
212,1522,703.1
215,2937,1998
218,1728,2206
222,1.575e+04,1.171e+04
223,1212,796.8
225,1700,1.736e+04
226,1395,515
228,4911,8537
232,1121,817.7
233,3411,2586
237,1853,5609
244,4911,3608
245,1700,2222
248,1457,2087
259,1878,6214
260,2046,2533
276,3585,1.55e+04
277,2549,6806
285,1728,2886
289,3915,4384
291,1840,487.2
292,1265,1019
293,1303,942.9
298,1606,2156
306,1359,1578
308,1303,887.5
316,1047,1761
318,490.2,38.4
319,1295,1231
320,1568,442.2
322,2024,824.5
324,2232,4199
325,4260,4837
327,2521,2284
333,1960,1246
335,3389,8582
337,1251,559.5
343,2057,2201
351,1212,4352
354,3188,5414
383,1807,2365
386,1878,757.9
388,4791,3096
393,1303,436.6
401,2937,6960
402,1395,2158
404,3295,4242
406,1700,1343
409,5173,6101
412,1194,2934
414,1194,1085
418,2431,1647
422,3084,4342
424,1536,1025
427,776.9,939.4
430,1878,3717
433,2739,1302
435,2131,1.127e+04
437,1978,1494
439,1522,2076
440,5283,4882
442,4490,1814
443,3528,1417
449,1.122e+04,1.546e+04
450,1862,2862
451,2057,2084
454,2549,3271
458,7530,5030
474,2131,2569
476,1909,1515
478,2549,2541
481,1472,1083
484,2431,1797
488,1395,1249
493,4523,7383
499,1801,986.3
502,5898,3648
511,838.6,621.4
516,1801,2879
517,955.4,1338
522,2303,2514
526,1409,2298
527,1409,1325
534,1457,1371
536,3528,6144
538,1878,1538
540,1700,4061
542,926.1,645.7
550,1297,738.4
552,3023,4723
560,3744,8123
561,1700,1257
562,3558,1715
563,1700,825
567,2796,3849
568,2256,1733
572,1472,3016
576,1297,2152
577,4791,3861
578,1298,1748
584,1613,966
586,1801,3158
590,2996,3228
592,1606,892.4
596,1303,1578
598,1298,1375
599,1212,939.4
603,2046,697
605,3389,4805
606,1121,871.8
607,926.1,865.9
608,4791,4884
610,3188,3835
611,2346,2247
612,3892,4411
614,6464,8533
617,1773,3577
621,3892,6041
625,640.9,651.6
626,2496,3565
627,1728,2154
630,3084,2709
632,1621,1498
640,2431,749.3
644,1502,1221
650,5387,4773
653,1472,2580
657,1978,1738
658,3744,3603
663,1251,581.9
667,1613,914.6
670,2392,1028
674,2549,1096
677,3939,4391
679,2303,3016
681,1331,1587
685,2057,1579
687,1359,886
691,8651,6055
693,1728,1092
699,3585,5145
700,3188,5646
702,2431,3688
711,2521,1843
714,2131,4363
716,1395,3008
720,8172,5403
724,1613,1241
727,1265,1117
732,5387,6380
738,1840,4398
740,2521,3332
743,2374,1.252e+04
752,847.7,804.3
754,2057,1538
756,955.4,1060
762,732.4,1724
764,2796,3269
766,1801,2174
772,2431,1808
780,784.8,1990
781,1700,3304
784,1472,3766
786,1457,678.7
787,2688,3095
789,2739,3458
793,1.122e+04,1.104e+04
797,5267,9133
803,2678,1719
804,1978,633
806,1977,7195
810,1457,980.8
811,1700,1168
813,2884,2212
814,663.5,995.3
819,1606,959
821,2346,2196
824,868,819.2
827,1212,1356
829,5294,5572
835,1194,670.5
836,1700,1523
837,1297,1067
843,2431,2073
848,2884,1535
854,1472,1639
855,1457,1303
856,2688,8039
857,3676,5044
860,1395,918.5
867,4986,6348
870,3295,3103
871,1303,1038
878,9528,5715
881,2774,4540
882,4490,6113
887,1395,1496
890,3277,2787
892,1359,1593
893,1428,2130
894,1359,1023
895,1853,1625
898,2937,4576
900,3676,5177
902,2303,2930
903,1801,1529
905,1978,1484
906,1568,828.6
907,2564,1929
908,1212,641
909,2346,4083
912,3765,1488
914,2046,1803
915,1424,686
917,3036,1488
919,2131,1487
920,1409,1576
921,2131,2298
926,1.049e+04,1.841e+04
930,2374,2763
936,1840,3701
937,6767,4630
938,3389,2076
939,4911,3597
946,4852,6679
951,2046,1254
953,2937,3033
958,2496,3288
961,1728,1321
968,2374,3295
969,1215,1127
970,2108,5476
971,6198,4708
972,1303,2228
973,1212,1754
974,2374,1115
980,751.5,513
982,1215,1177
985,1457,1832
987,6198,835.9
988,1212,1170
991,4330,4907
992,1960,1785
993,1613,1857
996,1544,1934
997,4490,3943
1001,2303,2323
1009,1160,1178
1013,1978,1465
1014,3188,4469
1015,868,786.8
1017,2549,753.9
1020,3676,2920
1026,2937,4110
1027,1428,1873
1030,4986,1.262e+04
1032,1978,817.2
1037,7462,7593
1039,9072,9877
1041,2549,1912
1043,4186,4618
1046,1621,1260
1049,4852,4991
1050,1.088e+04,1.287e+04
1052,1807,3816
1053,4349,3769
1062,1862,1445
1065,2139,850.9
1068,1279,612.7
1070,868,822.4
1075,838.6,2174
1079,5898,3633
1081,3744,4136
1082,981.3,606.7
1086,1047,1093
1087,2678,2173
1090,3084,3272
1092,1074,1296
1094,1212,798.8
1095,2392,908.5
1099,2057,2370
1104,3939,2208
1107,2431,1301
1110,2303,2506
1112,1862,1356
1117,2024,3189
1119,1606,1006
1125,3744,3401
1128,2232,6865
1129,4186,1.023e+04
1131,2762,594.8
1134,2232,1231
1139,1265,1025
1141,1613,1234
1148,3892,3400
1151,2539,2538
1155,3892,3806
1156,1621,2273
1158,1862,1487
1159,1395,1663
1160,1160,1070
1161,1728,1264
1162,2796,7496
1166,3295,2127
1167,1700,1113
1168,955.4,559
1169,732.4,816.9
1173,1409,4180
1174,4260,4809
1175,2057,688.9
1176,1009,994.4
1177,3528,4089
1178,4490,7349
1181,2057,404.1
1186,932.8,518.9
1187,1909,1284
1189,6592,3502
1194,2688,1587
1195,4852,3940
1198,5283,3599
1203,3915,2992
1205,4490,8588
1206,1121,1221
1210,4791,5538
1211,1853,3424
1213,2774,1721
1215,5340,6787
1224,4260,3961
1226,1461,1721
1230,926.1,752.2
1236,1472,2677
1237,7530,5873
1240,994.6,1999
1246,1009,815.8
1256,1568,2241
1257,1279,441.5
1261,1395,1822
1266,868,1148
1270,2139,2305
1272,4791,9697
1273,4523,3146
1274,1621,818.2
1276,3084,3904
1278,1121,1622
1282,2392,4904
1283,2303,1953
1284,1212,1213
1285,1640,406.5
1288,3295,5889
1291,1878,2298
1296,1264,757.8
1297,3915,7075
1298,4260,1629
1302,932.8,2826
1309,1155,1860
1311,1700,1842
1317,1700,3664
1319,2107,1160
1322,1700,4061
1329,5173,4508
1333,3411,5526
1337,1536,5297
1338,1728,3388
1339,4186,1520
1343,2549,2433
1345,3295,6062
1349,5283,4192
1350,1536,1223
1364,1951,1409
1366,2496,1369
1367,1395,4569
1369,932.8,960.1
1370,3915,4791
1372,1159,1492
1379,1621,1471
1386,1640,3334
1389,784.8,1084
1391,2774,3508
1392,3744,5866
1396,2678,5012
1399,784.8,2494
1400,2232,1482
1407,4791,6613
1412,2884,2347
1413,1960,1938
1414,1606,5089
1416,6592,7627
1417,1074,1014
1420,1428,2514
1423,1502,1160
1428,1536,1602
1430,3084,1576
1432,1853,2134
1434,1801,1155
1435,6767,2102
1439,994.6,571.2
1440,5173,4727
1442,2937,4722
1447,1621,1035
1456,3528,3426
1460,1212,224.9
1466,1801,1064
1467,932.8,1607
1470,3676,2560
1472,1238,3545
1476,1613,891.3
1477,1978,1.643e+04
1487,1568,513.2
1495,1212,192.6
1496,2774,4385
1497,784.8,2337
1498,6767,5913
1503,926.1,345.6
1505,4260,2424
1511,3744,1529
1522,4490,2303
1524,1878,3410
1526,2392,5321
1531,1878,4051
1533,5340,3130
1535,2057,2960
1537,751.5,819.8
1538,1700,968.1
1540,3295,6227
1543,1472,785.7
1544,1640,2434
1548,2131,3642
1566,1700,1224
1571,9072,9096
1572,1428,1454
1574,1801,2990
1577,932.8,517.2
1578,1862,1039
1580,1878,934.9
1582,4490,1606
1584,1395,4657
1586,1303,1723
1589,6592,7203
1601,1298,2910
1606,6592,1.069e+04
1611,1978,1867
1613,1840,2308
1614,2131,882.8
1615,1640,1397
1621,815.5,860
1622,2539,2937
1623,1133,1255
1630,1978,2300
1637,751.5,814.4
1642,1279,1220
1648,1728,529.2
1652,1502,1654
1657,1343,1836
1658,3528,3441
1659,7530,5108
1661,1121,1662
1662,1502,2378
1663,2024,3318
1666,2549,2914
1668,3188,9773
1671,9072,8177
1674,3188,1769
1680,2057,3636
1681,610.9,907.2
1688,3043,5335
1700,2431,1789
1702,1359,1439
1703,2346,1721
1704,1878,5118
1707,2431,1254
1709,1359,1482
1714,1457,2618
1717,2374,2916
1718,9609,1.503e+04
1721,2774,5600
1723,815.5,574.6
1725,6592,5994
1726,3305,6780
1732,1960,4765
1733,2303,7285
1735,1212,727.9
1738,2996,1.168e+04
1740,1807,2028
1741,1457,1933
1742,2219,3115
1748,2356,2154
1754,4330,4520
1755,2549,1858
1757,4349,1912
1761,3915,1510
1765,829.4,1705
1767,955.4,1263
1768,1.567e+04,2.202e+04
1774,610.9,395.6
1776,1343,594.3
1778,2496,6620
1779,8739,6392
1781,1807,708.4
1795,932.8,766.3
1797,2688,1841
1802,1395,1864
1804,1457,1211
1806,717.6,695.5
1809,4330,7851
1814,1159,1421
1815,868,888.5
1823,8739,9239
1824,1359,489
1826,2431,4004
1829,1121,1336
1845,3676,5445
1847,2688,1384
1849,4349,4015
1850,1331,1100
1859,3676,9593
1860,3744,2470
1861,1212,1211
1864,1801,1295
1866,1095,725.9
1875,2374,1796
1877,3389,796.1
1879,2346,2062
1887,2139,1151
1891,1279,728.7
1893,1502,2871
1896,1212,2483
1897,1773,2789
1904,2496,2712
1907,8651,8143
1909,1238,1450
1920,4330,4939
1921,2431,1757
1922,2346,1571
1923,3676,7469
1924,2937,2776
1925,1212,1887
1926,2549,2802
1931,1840,1890
1934,1461,1623
1936,1279,1140
1939,1424,346.9
1946,6198,4434
1949,2346,2438
1951,5898,8928
1954,1212,784.4
1956,1853,1799
1957,7462,6376
1961,2496,963.5
1963,994.6,456.8
1964,3036,4921
1965,3676,4413
1970,926.1,2198
1971,4490,7817
1972,3036,2497
1977,1502,3684
1978,3394,4307
1982,4490,1733
1983,3188,4724
1988,3939,3685
1993,4523,4697
1996,784.8,641.5
1997,1728,1715
2002,1862,1555
2003,1853,3112
2005,1840,1302
2010,1621,1410
2013,751.5,966.7
2018,1878,1091
2023,1801,3703
2043,5267,4768
2044,994.6,1047
2046,1613,652
2058,1621,1975
2060,4260,3538
2061,2024,1975
2063,4462,5045
2067,1502,1163
2072,1801,1233
2075,1212,808.7
2076,1960,1377
2083,6198,5271
2084,1121,795.6
2086,1853,1069
2087,3234,5202
2091,2303,1643
2092,2303,3108
2098,6198,3367
2099,1.251e+04,1.92e+04
2103,3084,976.7
2104,9609,5905
2107,732.4,917
2109,1066,1475
2110,1536,1276
2111,1135,3058
2112,5173,6879
2121,3558,5213
2123,2688,1194
2130,2431,1178
2134,2256,3895
2138,1613,858.9
2141,2057,1606
2146,1700,1201
2148,6767,8423
2149,994.6,1216
2154,1159,967.2
2157,2521,3601
2158,1700,1315
2159,2374,3898
2162,994.6,2754
2167,6464,7386
2171,1621,1973
2175,3915,4090
2178,5898,9006
2180,663.5,675.9
2186,1978,1176
2192,732.4,934.3
2193,8172,8920
2197,1978,1001
2198,1.567e+04,1.458e+04
2203,1544,390.3
2205,2884,5067
2207,2521,2166
2213,2139,1365
2215,5724,6781
2216,1303,2829
2218,926.1,725.2
2220,3188,1844
2229,2256,1688
2232,3765,3004
2233,1613,3656
2234,2219,1940
2237,1878,1782
2240,1840,1656
2241,1297,2248
2246,1801,1636
2249,1009,1541
2251,3744,8415
2255,1279,1056
2257,1409,1656
2261,1159,1575
2264,1978,2288
2269,7530,9132
2271,1853,2120
2272,2356,1784
2278,5387,4421
2286,1700,3420
2287,8172,7974
2293,4791,1.079e+04
2294,994.6,1007
2298,1568,1615
2303,981.3,654.1
2305,9609,2.597e+04
2308,8172,5008
2310,2431,3308
2311,2024,4712
2320,1457,1479
2322,5898,7977
2323,5267,5170
2324,820.7,4093
2325,4791,4366
2327,3389,1627
2328,1303,2853
2331,3676,5439
2332,3305,3599
2335,981.3,857.6
2339,4260,2452
2343,1121,1871
2345,2774,2739
2352,1801,1251
2356,2392,4138
2357,2131,2606
2365,1606,2195
2373,1728,2579
2375,1331,1702
2379,2374,3339
2380,2774,3604
2385,1728,1091
2390,1700,2290
2393,1074,1985
2398,955.4,699.3
2399,1212,736.9
2402,4791,5643
2405,5724,7385
2406,1728,1727
2408,6198,5154
2410,6767,6876
2412,5173,5225
2419,4349,6952
2423,2763,4693
2431,3676,2421
2437,2346,2586
2441,1298,1096
2443,1728,1523
2453,1395,1252
2454,1074,461.6
2455,3234,4021
2459,2884,2157
2464,1613,1519
2465,2739,1576
2466,8739,6368
2473,2256,776.6
2474,3764,5180
2476,4791,6141
2477,1359,1183
2486,6464,1.252e+04
2490,1801,2185
2491,1409,873
2493,1522,377.6
2495,4986,5962
2500,1878,5270
2506,2431,1637
2508,6359,5143
2517,2077,1472
2518,2057,1662
2520,4186,7758
2525,1343,1088
2527,1807,750
2531,717.7,448.8
2533,1212,630.2
2541,2057,1026
2547,6464,6699
2550,7530,1.157e+04
2554,2046,3110
2559,1135,1016
2560,955.4,973.2
2561,2346,1260
2565,4260,4500
2568,1978,2176
2569,2688,4683
2570,1621,827.1
2576,3295,4122
2578,3188,4092
2579,5173,7769
2580,1840,4221
2585,3957,3588
2590,2496,4179
2591,3234,2618
2594,3744,3535
2600,1853,5571
2605,955.4,1163
2606,4330,6709
2608,2024,1693
2616,2139,4281
2617,815.5,765.9
2619,1502,912.1
2622,1424,1742
2623,2346,5688
2625,2521,1178
2632,3915,4308
2634,847.7,613.4
2639,1424,1556
2645,926.1,420.1
2652,5173,6185
2655,1700,1467
2656,955.4,981.2
2658,2774,1964
2660,2919,5357
2661,2549,1830
2669,6767,4141
2672,932.8,598.3
2675,1909,4070
2681,1457,1547
2685,5340,5781
2686,981.3,1034
2687,1155,1565
2688,1066,967
2697,1155,729.9
2698,1801,3038
2709,2549,2278
2712,3744,6685
2718,1978,1948
2719,1700,1819
2722,1700,686.1
2724,2374,2780
2728,955.4,626.5
2729,5283,2298
2734,3558,2053
2735,1.401e+04,1.458e+04
2737,1074,644.8
2741,1640,1193
2742,1909,3231
2747,4330,3862
2748,1155,2495
2749,3295,5103
2756,1807,3598
2758,1978,954.6
2763,6464,9920
2770,1807,1824
2771,2131,2959
2779,1066,1010
2780,1066,742.7
2792,1.088e+04,1.174e+04
2793,1728,1697
2794,1428,1779
2795,8651,7190
2797,1395,955.2
2798,1502,2405
2799,2057,4135
2802,4186,3772
2806,5898,3794
2810,1359,836.3
2812,3036,3921
2824,4349,4404
2831,1074,2279
2832,640.9,676.1
2838,1.311e+04,2.96e+04
2840,1.251e+04,1.533e+04
2841,4260,6921
2842,1298,1457
2848,3084,9846
2850,1568,1937
2852,1512,4544
2855,1155,2513
2857,3065,1063
2858,2346,2189
2859,2937,4667
2860,2774,3184
2861,3295,4636
2865,2688,2480
2871,6464,7608
2872,1215,906.8
2874,1728,3159
2880,3744,2946
2882,1212,911.4
2883,3188,4425
2885,2762,3329
2891,7530,9950
2898,2539,3033
2902,4986,2963
2904,1700,2451
2922,1878,1618
2925,1194,2159
2928,1978,2146
2935,2678,3285
2938,1212,3868
2940,3188,3011
2950,1862,1247
2951,3188,2723
2953,2346,2364
2955,5294,6686
2959,1121,1278
2967,2392,6083
2968,5898,5457
2969,1155,916.8
2976,3744,9494
2978,2131,4721
2981,1359,808.4
2988,1.122e+04,1.061e+04
2989,6767,5884
2994,1909,2663
2999,1536,1439
3000,1878,995.1
3010,2046,1326
3011,1960,1608
3015,1840,7599
3016,1298,1220
3018,2774,3976
3019,2431,1964
3022,2108,4596
3024,1457,1915
3031,2774,6779
3032,1502,1133
3033,1.251e+04,8091
3039,9609,8559
3041,1640,2923
3042,1066,768.5
3051,1212,1089
3058,1568,1705
3061,1878,2708
3062,1700,2635
3066,2996,2306
3068,1909,622.1
3072,5279,3845
3073,1807,1310
3074,2346,2961
3080,2219,3437
3083,3939,4329
3089,2024,1007
3093,2688,2214
3095,2937,1772
3098,3084,4119
3101,4330,6757
3104,732.4,681
3106,4330,5107
3109,1074,663
3111,6464,5664
3113,1359,1649
3114,1502,2103
3116,808,845.5
3117,2549,793.4
3119,3892,4398
3125,1159,709.6
3126,2232,2350
3127,1640,3149
3129,926.1,342.5
3130,7462,7677
3131,2024,2886
3135,3084,1258
3137,3043,4851
3139,981.3,1149
3142,2431,2347
3148,1502,1572
3150,3528,7176
3156,1135,1518
3162,1155,1122
3164,1074,1524
3166,1613,3455
3167,1536,1504
3168,1728,1321
3174,4330,9448
3179,1960,3057
3185,1801,1670
3187,2346,2157
3188,1121,1673
3193,8651,8221
3195,1853,793
3198,1853,1668
3206,5898,6635
3211,2303,3427
3213,1424,1164
3215,1840,1955
3218,1343,1036
3223,1298,676.3
3224,1155,872.4
3227,1265,2087
3231,1160,819.2
3233,1279,2518
3238,5898,3082
3242,1728,2368
3244,2496,1478
3246,5740,3710
3247,2356,7968
3248,1606,2660
3252,1331,1161
3253,3915,1350
